app_slug,tier,scope,module_key,n,r0,r1,r2,r3,top_share,read_nothing,best_rank,ties,pass,fails
casingtubing,advanced,module,m02-the-three-forces,15,2,5,6,2,0.4,0.4333,2,2,True,
casingtubing,advanced,module,m03-length-and-what-holds-it,15,2,3,6,4,0.4,0.4333,2,1,True,
casingtubing,advanced,module,m04-buckling,15,2,5,6,2,0.4,0.4,2,0,True,
casingtubing,advanced,module,m05-the-envelope-and-its-edges,15,2,3,6,4,0.4,0.4,2,1,True,
casingtubing,advanced,module,m06-the-expert-reading,15,2,2,6,5,0.4,0.4,2,1,True,
casingtubing,beginner,final,,42,6,7,16,13,0.381,0.381,2,4,True,
casingtubing,beginner,module,m01-what-a-casing-string-is,15,2,5,6,2,0.4,0.4333,2,2,True,
casingtubing,beginner,module,m02-burst-and-tension,15,3,4,6,2,0.4,0.4333,2,3,True,
casingtubing,beginner,module,m03-the-four-collapse-regimes,15,2,5,6,2,0.4,0.4,2,0,True,
casingtubing,beginner,module,m04-combined-loading,15,2,5,6,2,0.4,0.4,2,1,True,
casingtubing,beginner,module,m05-reading-a-rating-table,15,2,5,6,2,0.4,0.4,2,0,True,
casingtubing,beginner,module,m06-the-associate-reading,15,2,5,6,2,0.4,0.4,2,0,True,
casingtubing,intermediate,final,,42,6,7,16,13,0.381,0.381,2,3,True,
casingtubing,intermediate,module,m01-a-load-case-is-two-columns,15,2,4,6,3,0.4,0.4,2,1,True,
casingtubing,intermediate,module,m02-the-burst-cases,15,2,2,6,5,0.4,0.4,2,1,True,
casingtubing,intermediate,module,m03-the-collapse-cases,15,2,5,6,2,0.4,0.3667,1,1,True,
casingtubing,intermediate,module,m04-axial-and-triaxial,15,2,5,6,2,0.4,0.4,2,1,True,
casingtubing,intermediate,module,m05-reading-a-string-check,15,2,4,6,3,0.4,0.4,2,2,True,
casingtubing,intermediate,module,m06-the-professional-reading,15,2,3,6,4,0.4,0.4333,2,2,True,
cementing,advanced,final,,42,6,6,16,14,0.381,0.381,2,1,True,
cementing,advanced,module,m01-why-mud-removal-decides-it,15,2,3,6,4,0.4,0.4,2,1,True,
cementing,advanced,module,m02-the-centralizer,15,2,4,6,3,0.4,0.4,2,0,True,
cementing,advanced,module,m03-the-span-between-them,15,2,2,6,5,0.4,0.4,2,1,True,
cementing,advanced,module,m04-choosing-a-spacing,15,2,2,6,5,0.4,0.4,2,0,True,
cementing,advanced,module,m05-the-checklist-and-its-edges,15,2,2,6,5,0.4,0.4,2,1,True,
cementing,advanced,module,m06-the-expert-reading,15,2,4,6,3,0.4,0.4,2,3,True,
cementing,beginner,final,,42,6,6,16,14,0.381,0.381,2,1,True,
cementing,beginner,module,m01-what-a-primary-cement-job-is,15,2,5,6,2,0.4,0.4,2,1,True,
cementing,beginner,module,m02-the-geometry,15,2,4,6,3,0.4,0.4,2,0,True,
